vtkOriginalCellIds,attribute,perm_0,perm_1,perm_2,poro,vol
27705,2,6.91648e-14,6.91648e-14,6.91648e-14,0.216659,165386
27706,2,6.95353e-14,6.95353e-14,6.95353e-14,0.216625,168203
27707,2,7.02764e-14,7.02764e-14,7.02764e-14,0.216556,171162
27708,2,7.06469e-14,7.06469e-14,7.06469e-14,0.216522,173753
27709,2,7.06469e-14,7.06469e-14,7.06469e-14,0.216522,175827
27710,2,7.06469e-14,7.06469e-14,7.06469e-14,0.216522,176115
27711,2,1.00192e-13,1.00192e-13,1.00192e-13,0.22585,176078
27712,2,1.29738e-13,1.29738e-13,1.29738e-13,0.235178,176462
27713,2,1.29738e-13,1.29738e-13,1.29738e-13,0.235178,177107
27714,2,1.29738e-13,1.29738e-13,1.29738e-13,0.235178,177135
27715,2,1.29738e-13,1.29738e-13,1.29738e-13,0.235178,176904
27716,2,1.39751e-13,1.39751e-13,1.39751e-13,0.236556,176442
27717,2,1.49765e-13,1.49765e-13,1.49765e-13,0.237934,175901
27718,2,1.49765e-13,1.49765e-13,1.49765e-13,0.237934,175620
27719,2,1.49765e-13,1.49765e-13,1.49765e-13,0.237934,175488
27720,2,1.49765e-13,1.49765e-13,1.49765e-13,0.237934,175816
27721,2,1.48211e-13,1.48211e-13,1.48211e-13,0.239002,176177
27722,2,1.46658e-13,1.46658e-13,1.46658e-13,0.240069,176572
27723,2,1.46658e-13,1.46658e-13,1.46658e-13,0.240069,176955
27724,2,1.46658e-13,1.46658e-13,1.46658e-13,0.240069,174387
27725,2,1.46658e-13,1.46658e-13,1.46658e-13,0.240069,168457
27726,2,1.49979e-13,1.49979e-13,1.49979e-13,0.24092,162065
27727,2,1.53299e-13,1.53299e-13,1.53299e-13,0.24177,155654
27728,2,1.53299e-13,1.53299e-13,1.53299e-13,0.24177,151405
27767,2,3.81221e-14,3.81221e-14,3.81221e-14,0.206764,151021
27806,2,3.81221e-14,3.81221e-14,3.81221e-14,0.206764,151516
27845,2,9.75126e-14,9.75126e-14,9.75126e-14,0.225342,151434
27884,2,1.56903e-13,1.56903e-13,1.56903e-13,0.243919,151455
27923,2,1.56903e-13,1.56903e-13,1.56903e-13,0.243919,151454
27962,2,1.56903e-13,1.56903e-13,1.56903e-13,0.243919,151463
28001,2,1.55552e-13,1.55552e-13,1.55552e-13,0.243113,151470
28040,2,1.53749e-13,1.53749e-13,1.53749e-13,0.242039,151464
28079,2,1.53299e-13,1.53299e-13,1.53299e-13,0.24177,151610
28118,2,4.14732e-14,4.14732e-14,4.14732e-14,0.207393,153507
28157,2,4.25902e-14,4.25902e-14,4.25902e-14,0.207602,153962
28196,2,7.22854e-14,7.22854e-14,7.22854e-14,0.216891,153895
28235,2,1.32453e-13,1.32453e-13,1.32453e-13,0.23526,153929
28274,2,1.62924e-13,1.62924e-13,1.62924e-13,0.244341,153934
28313,2,1.65935e-13,1.65935e-13,1.65935e-13,0.244552,153922
28352,2,1.66572e-13,1.66572e-13,1.66572e-13,0.243873,153912
28391,2,1.60738e-13,1.60738e-13,1.60738e-13,0.242504,153912
28430,2,1.59265e-13,1.59265e-13,1.59265e-13,0.242152,153996
28469,2,4.59413e-14,4.59413e-14,4.59413e-14,0.208231,155616
28508,2,4.70583e-14,4.70583e-14,4.70583e-14,0.20844,156079
28547,2,6.37996e-14,6.37996e-14,6.37996e-14,0.213086,156079
28586,2,1.27754e-13,1.27754e-13,1.27754e-13,0.231458,156111
28625,2,1.74968e-13,1.74968e-13,1.74968e-13,0.245184,156153
28664,2,1.76506e-13,1.76506e-13,1.76506e-13,0.245043,156116
28703,2,1.75099e-13,1.75099e-13,1.75099e-13,0.244198,156160
28742,2,1.68693e-13,1.68693e-13,1.68693e-13,0.243014,156204
28781,2,1.6722e-13,1.6722e-13,1.6722e-13,0.242662,156322
28820,2,4.70583e-14,4.70583e-14,4.70583e-14,0.20844,157744
28859,2,4.70583e-14,4.70583e-14,4.70583e-14,0.20844,158161
28898,2,8.0541e-14,8.0541e-14,8.0541e-14,0.217731,158083
28937,2,1.47506e-13,1.47506e-13,1.47506e-13,0.236315,158127
28976,2,1.80989e-13,1.80989e-13,1.80989e-13,0.245606,158110
29015,2,1.78044e-13,1.78044e-13,1.78044e-13,0.244902,158002
29054,2,1.72154e-13,1.72154e-13,1.72154e-13,0.243493,158112
29093,2,1.69209e-13,1.69209e-13,1.69209e-13,0.242789,158042
29132,2,1.69209e-13,1.69209e-13,1.69209e-13,0.242789,158132
29171,2,4.70583e-14,4.70583e-14,4.70583e-14,0.20844,156041
29210,2,4.70583e-14,4.70583e-14,4.70583e-14,0.20844,156444
29249,2,8.0541e-14,8.0541e-14,8.0541e-14,0.217731,156430
29288,2,1.47506e-13,1.47506e-13,1.47506e-13,0.236315,156478
29327,2,1.80989e-13,1.80989e-13,1.80989e-13,0.245606,156445
29366,2,1.76572e-13,1.76572e-13,1.76572e-13,0.24455,156453
29405,2,1.70681e-13,1.70681e-13,1.70681e-13,0.243141,156489
29444,2,1.69209e-13,1.69209e-13,1.69209e-13,0.242789,156436
29483,2,1.69209e-13,1.69209e-13,1.69209e-13,0.242789,156570
29522,2,4.70583e-14,4.70583e-14,4.70583e-14,0.20844,151718
29561,2,4.70583e-14,4.70583e-14,4.70583e-14,0.20844,152129
29600,2,9.72823e-14,9.72823e-14,9.72823e-14,0.222377,152145
29639,2,1.64248e-13,1.64248e-13,1.64248e-13,0.24096,152140
29678,2,1.80989e-13,1.80989e-13,1.80989e-13,0.245606,152121
29717,2,1.76572e-13,1.76572e-13,1.76572e-13,0.24455,152182
29756,2,1.70681e-13,1.70681e-13,1.70681e-13,0.243141,152130
29795,2,1.69209e-13,1.69209e-13,1.69209e-13,0.242789,152151
29834,2,1.69209e-13,1.69209e-13,1.69209e-13,0.242789,152209
29873,2,4.80828e-14,4.80828e-14,4.80828e-14,0.209005,147372
29912,2,4.80828e-14,4.80828e-14,4.80828e-14,0.209005,147834
29951,2,9.83069e-14,9.83069e-14,9.83069e-14,0.222942,147833
29990,2,1.48531e-13,1.48531e-13,1.48531e-13,0.236879,147792
30029,2,1.65628e-13,1.65628e-13,1.65628e-13,0.241484,147849
30068,2,1.81253e-13,1.81253e-13,1.81253e-13,0.245737,147861
